Name,Rating,Courses,Fees Range,Package,City
IIT Bombay - Indian Institute of Technology,4.6,104 Courses,₹21.3 K - 10 L,₹8.4 - 55.37 LPA,Mumbai
IIT Delhi - Indian Institute of Technology,4.5,117 Courses,₹30 K - 8.7 L,₹12.5 - 22 LPA,Delhi
DTU - Delhi Technological University,4.3,78 Courses,₹36 K - 6.4 L,₹9 - 13 LPA,Delhi
Jadavpur University,4.4,159 Courses,₹1.2 K - 2.2 L,₹3.59 - 10 LPA,Kolkata
Manipal Institute of Technology,4.3,77 Courses,₹2.2 L - 13.5 L,₹6.2 - 8.88 LPA,Manipal
"Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore",4.1,32 Courses,₹1.8 L - 18 L,₹4.5 - 6.41 LPA,Coimbatore
Chandigarh University (CU),4.3,262 Courses,₹49.4 K - 14.6 L,₹2.5 - 7.63 LPA,Chandigarh
Anna University,4.3,33 Courses,– / –,₹2.16 - 6.3 LPA,Chennai
Thapar University,4.0,53 Courses,₹1.3 L - 14.6 L,₹7 - 14.51 LPA,Patiala
KIIT School of Engineering,4.3,52 Courses,₹3.8 L - 14.8 L,₹4.5 - 8 LPA,Bhubaneswar
Jamia Millia Islamia,4.3,207 Courses,₹5.7 K - 3.9 L,₹4.8 - 13 LPA,Delhi
SASTRA (Deemed to be University),4.2,95 Courses,₹18 K - 7.7 L,₹3.3 - 7.5 LPA,Thanjavur
VIT Vellore,4.2,85 Courses,₹1 L - 15.5 L,₹3 - 8.1 LPA,Vellore
MNNIT Allahabad - Motilal Nehru National Institute of Technology,4.1,53 Courses,₹48 K - 6.9 L,₹11 - 12 LPA,Allahabad
Aligarh Muslim University,4.3,316 Courses,₹800 - 5.9 L,₹4.75 - 17 LPA,Aligarh
"Koneru Lakshmaiah Education Foundation, Hyderabad",4.4,18 Courses,₹6 L - 20 L,₹4.75 - 6.6 LPA,Hyderabad
"Birla Institute of Technology, Mesra",3.9,62 Courses,₹2.5 L - 17.3 L,₹3.18 - 9.9 LPA,Ranchi
KIIT - Kalinga Institute of Industrial Technology,4.1,28 Courses,₹2 K - 15.9 L,₹6 - 10.2 LPA,Bhubaneswar
IIIT Delhi - Indraprastha Institute of Information Technology,4.5,26 Courses,₹2 L - 18 L,₹15.41 - 17 LPA,Delhi
"International Institute of Information Technology, Hyderabad",4.3,32 Courses,₹1.2 L - 18 L,₹21.95 - 30.36 LPA,Hyderabad
IIT Madras - Indian Institute of Technology,4.6,95 Courses,₹10 K - 10 L,₹1.5 - 18.96 LPA,Chennai
"Amrita School of Engineering, Amrita Vishwa Vidyapeetham - Amritapuri Campus",4.0,20 Courses,₹1.5 L - 17 L,₹4.5 - 6.41 LPA,Amritapuri
"SoT, Pandit Deendayal Energy University (PDEU)",4.2,27 Courses,₹2.7 L - 9.6 L,₹4.2 - 7.87 LPA,Gandhinagar
Manipal Academy of Higher Education,4.1,76 Courses,₹10 K - 18 L,₹3.5 - 11.68 LPA,Manipal
"JNTUH College of Engineering Hyderabad, Jawaharlal Nehru Technological University, Hyderabad",4.0,65 Courses,₹54 K - 5 L,₹5.5 LPA,Hyderabad
"Manipal University, Jaipur",4.1,101 Courses,₹68 K - 15.2 L,₹2.64 - 7 LPA,Jaipur
IIT Kharagpur - Indian Institute of Technology,4.5,177 Courses,₹20 K - 10 L,₹1.5 - 18.75 LPA,Kharagpur
NIT Trichy - National Institute of Technology,4.4,52 Courses,₹30 K - 6.3 L,₹5.5 - 12.37 LPA,Tiruchirappalli
